DATE,HPI
1978-01-01,30.36
1979-01-01,36.80
1980-01-01,44.37
1981-01-01,45.92
1982-01-01,42.98
1983-01-01,49.23
1984-01-01,51.55
1985-01-01,55.87
1986-01-01,62.15
1987-01-01,72.76
1988-01-01,89.74
1989-01-01,108.64
1990-01-01,112.31
1991-01-01,112.31
1992-01-01,105.10
1993-01-01,102.05
1994-01-01,100.12
1995-01-01,100.49
1996-01-01,101.81
1997-01-01,109.85
1998-01-01,109.85
1999-01-01,140.02
2000-01-01,172.86
2001-01-01,193.26
2002-01-01,201.92
2003-01-01,212.51
2004-01-01,240.24
2005-01-01,286.35
2006-01-01,307.82
2007-01-01,304.80
2008-01-01,277.67
2009-01-01,253.68
2010-01-01,249.10
2011-01-01,240.81
2012-01-01,247.36
2013-01-01,281.30
2014-01-01,318.20
2015-01-01,356.76
2016-01-01,388.76
2017-01-01,406.65
2018-01-01,443.22
2019-01-01,441.25
2020-01-01,428.92
2021-01-01,433.95
2022-01-01,487.66
