DATE,PI
1978-01-01,12996517
1979-01-01,15047426
1980-01-01,17360388
1981-01-01,19705031
1982-01-01,21589951
1983-01-01,23838373
1984-01-01,26608260
1985-01-01,28272245
1986-01-01,29345144
1987-01-01,31067512
1988-01-01,34104703
1989-01-01,36597595
1990-01-01,38413379
1991-01-01,40035007
1992-01-01,43010758
1993-01-01,43799469
1994-01-01,45590697
1995-01-01,50223641
1996-01-01,54615351
1997-01-01,59795952
1998-01-01,64691969
1999-01-01,72804300
2000-01-01,90972140
2001-01-01,86652219
2002-01-01,81080049
2003-01-01,81610228
2004-01-01,84004175
2005-01-01,88596765
2006-01-01,97429342
2007-01-01,105735553
2008-01-01,106074055
2009-01-01,100287631
2010-01-01,108733666
2011-01-01,119185630
2012-01-01,132084416
2013-01-01,134103796
2014-01-01,146464866
2015-01-01,161471908
2016-01-01,175007448
2017-01-01,190293049
2018-01-01,207881196
2019-01-01,218542457
2020-01-01,240677946
2021-01-01,272711739
2022-01-01,270162197
